Navn,Position,Hold,Pris,Totalvækst,Vækst,Vækst Runde 1
Johan Manzambi,Midtbane,Schweiz,3.401.000,+401.000,+397.000,+4.000
Ruben Vargas,Angreb,Schweiz,3.831.000,+331.000,+299.000,+32.000
Granit Xhaka,Midtbane,Schweiz,4.228.000,+228.000,+214.000,+14.000
Michal Sadilek,Midtbane,Tjekkiet,2.675.000,+175.000,+172.000,+3.000
Teboho Mokoena,Midtbane,Sydafrika,3.627.000,+127.000,+164.000,-37.000
Ermin Mahmic,Midtbane,Bosnien-Hercegovina,2.146.000,+146.000,+151.000,-5.000
Breel Embolo,Angreb,Schweiz,5.251.000,+251.000,+112.000,+139.000
Alexandr Sojka,Midtbane,Tjekkiet,2.075.000,+75.000,+82.000,-7.000
Gregor Kobel,Keeper,Schweiz,4.103.000,+103.000,+74.000,+29.000
Manuel Akanji,Forsvar,Schweiz,3.588.000,+88.000,+64.000,+24.000
Remo Freuler,Midtbane,Schweiz,3.586.000,+86.000,+64.000,+22.000
Ricardo Rodriguez,Forsvar,Schweiz,3.086.000,+86.000,+64.000,+22.000
Djibril Sow,Midtbane,Schweiz,3.059.000,+59.000,+64.000,-5.000
Dan Ndoye,Angreb,Schweiz,4.094.000,+94.000,+52.000,+42.000
Silvan Widmer,Forsvar,Schweiz,3.047.000,+47.000,+52.000,-5.000
Nico Elvedi,Forsvar,Schweiz,3.058.000,+58.000,+44.000,+14.000
Luca Jaquez,Forsvar,Schweiz,2.039.000,+39.000,+44.000,-5.000
Cedric Itten,Angreb,Schweiz,2.039.000,+39.000,+44.000,-5.000
Evidence Makgopa,Angreb,Sydafrika,2.541.000,+41.000,+42.000,-1.000
Michel Aebischer,Midtbane,Schweiz,2.564.000,+64.000,+32.000,+32.000
Fabian Rieder,Midtbane,Schweiz,3.036.000,+36.000,+32.000,+4.000
Lukas Cerv,Midtbane,Tjekkiet,3.027.000,+27.000,+32.000,-5.000
Relebohile Mofokeng,Angreb,Sydafrika,2.527.000,+27.000,+32.000,-5.000
Matej Kovar,Keeper,Tjekkiet,3.047.000,+47.000,+29.000,+18.000
Ladislav Krejci,Forsvar,Tjekkiet,3.195.000,+195.000,+27.000,+168.000
Patrik Schick,Angreb,Tjekkiet,4.533.000,+33.000,+24.000,+9.000
Ronwen Williams,Keeper,Sydafrika,3.017.000,+17.000,+24.000,-7.000
Vladimir Darida,Midtbane,Tjekkiet,2.017.000,+17.000,+22.000,-5.000
Adam Hlozek,Angreb,Tjekkiet,2.515.000,+15.000,+22.000,-7.000
Vladimir Coufal,Forsvar,Tjekkiet,3.067.000,+67.000,+14.000,+53.000
Oswin Appollis,Angreb,Sydafrika,3.513.000,+13.000,+14.000,-1.000
Tomas Holes,Forsvar,Tjekkiet,2.009.000,+9.000,+14.000,-5.000
Thapelo Maseko,Angreb,Sydafrika,2.009.000,+9.000,+14.000,-5.000
Aubrey Modiba,Forsvar,Sydafrika,3.007.000,+7.000,+14.000,-7.000
Robin Hranac,Forsvar,Tjekkiet,2.507.000,+7.000,+14.000,-7.000
Mbekezeli Mbokazi,Forsvar,Sydafrika,2.507.000,+7.000,+14.000,-7.000
Khuliso Mudau,Forsvar,Sydafrika,2.997.000,-3.000,+14.000,-17.000
Ime Okon,Forsvar,Sydafrika,1.997.000,-3.000,+14.000,-17.000
Kamogelo Sebelebele,Forsvar,Sydafrika,2.007.000,+7.000,+12.000,-5.000
Pavel Sulc,Midtbane,Tjekkiet,4.013.000,+13.000,+4.000,+9.000
Lukas Provod,Midtbane,Tjekkiet,3.013.000,+13.000,+4.000,+9.000
David Zima,Forsvar,Tjekkiet,1.999.000,-1.000,+4.000,-5.000
Tomas Soucek,Midtbane,Tjekkiet,3.497.000,-3.000,+4.000,-7.000
Jaroslav Zeleny,Forsvar,Tjekkiet,2.497.000,-3.000,+4.000,-7.000
Jayden Adams,Midtbane,Sydafrika,1.995.000,-5.000,+4.000,-9.000
Iqraam Rayners,Angreb,Sydafrika,2.487.000,-13.000,+4.000,-17.000
Thapelo Morena,Angreb,Sydafrika,3.000.000,0,0,0
Pascal Loretz,Keeper,Schweiz,3.000.000,0,0,0
Vincent Sierro,Midtbane,Schweiz,2.500.000,0,0,0
Osman Hadzikic,Keeper,Bosnien-Hercegovina,2.500.000,0,0,0
Mohau Nkota,Angreb,Sydafrika,2.500.000,0,0,0
Martin Vitik,Forsvar,Tjekkiet,2.500.000,0,0,0
Martin Jedlicka,Keeper,Tjekkiet,2.500.000,0,0,0
Joel Monteiro,Angreb,Schweiz,2.500.000,0,0,0
Alvyn Sanches,Midtbane,Schweiz,2.500.000,0,0,0
Adam Karabec,Midtbane,Tjekkiet,2.500.000,0,0,0
Simon Sohm,Midtbane,Schweiz,2.000.000,0,0,0
Lucas Blondel,Forsvar,Schweiz,2.000.000,0,0,0
Jan Kliment,Angreb,Tjekkiet,2.000.000,0,0,0
Isaac Schmidt,Forsvar,Schweiz,2.000.000,0,0,0
Filip Ugrinic,Midtbane,Schweiz,2.000.000,0,0,0
Cedric Zesiger,Forsvar,Schweiz,2.000.000,0,0,0
Bongokuhle Hlongwane,Angreb,Sydafrika,2.000.000,0,0,0
Becir Omeragic,Forsvar,Schweiz,2.000.000,0,0,0
Andi Zeqiri,Angreb,Schweiz,2.000.000,0,0,0
Alex Kral,Midtbane,Tjekkiet,2.000.000,0,0,0
Adrian Bajrami,Forsvar,Schweiz,2.000.000,0,0,0
Benjamin Tahirovic,Midtbane,Bosnien-Hercegovina,3.013.000,+13.000,-1.000,+14.000
Dzenis Burnic,Midtbane,Bosnien-Hercegovina,2.507.000,+7.000,-5.000,+12.000
Mohamed Zeki Amdouni,Angreb,Schweiz,3.499.000,-1.000,-5.000,+4.000
Denis Zakaria,Midtbane,Schweiz,2.999.000,-1.000,-5.000,+4.000
Armin Gigovic,Midtbane,Bosnien-Hercegovina,2.999.000,-1.000,-5.000,+4.000
Miro Muheim,Forsvar,Schweiz,2.499.000,-1.000,-5.000,+4.000
Samed Bazdar,Angreb,Bosnien-Hercegovina,1.999.000,-1.000,-5.000,+4.000
Ardon Jashari,Midtbane,Schweiz,1.999.000,-1.000,-5.000,+4.000
Arjan Malic,Forsvar,Bosnien-Hercegovina,1.995.000,-5.000,-5.000,0
Mojmir Chytil,Angreb,Tjekkiet,2.494.000,-6.000,-5.000,-1.000
Yvon Mvogo,Keeper,Schweiz,2.990.000,-10.000,-5.000,-5.000
Noah Okafor,Midtbane,Schweiz,2.990.000,-10.000,-5.000,-5.000
Marvin Keller,Keeper,Schweiz,2.990.000,-10.000,-5.000,-5.000
Haris Tabakovic,Angreb,Bosnien-Hercegovina,2.990.000,-10.000,-5.000,-5.000
Christian Fassnacht,Angreb,Schweiz,2.990.000,-10.000,-5.000,-5.000
Tshepang Moremi,Angreb,Sydafrika,2.490.000,-10.000,-5.000,-5.000
Stjepan Radeljic,Forsvar,Bosnien-Hercegovina,2.490.000,-10.000,-5.000,-5.000
Sipho Chaine,Keeper,Sydafrika,2.490.000,-10.000,-5.000,-5.000
Ricardo Goss,Keeper,Sydafrika,2.490.000,-10.000,-5.000,-5.000
Nihad Mujakic,Forsvar,Bosnien-Hercegovina,2.490.000,-10.000,-5.000,-5.000
Mladen Jurkas,Keeper,Bosnien-Hercegovina,2.490.000,-10.000,-5.000,-5.000
Martin Zlomislic,Keeper,Bosnien-Hercegovina,2.490.000,-10.000,-5.000,-5.000
Lukas Hornicek,Keeper,Tjekkiet,2.490.000,-10.000,-5.000,-5.000
Jindrich Stanek,Keeper,Tjekkiet,2.490.000,-10.000,-5.000,-5.000
Jan Kuchta,Angreb,Tjekkiet,2.490.000,-10.000,-5.000,-5.000
Dennis Hadzikadunic,Forsvar,Bosnien-Hercegovina,2.490.000,-10.000,-5.000,-5.000
Aurele Amenda,Forsvar,Schweiz,2.490.000,-10.000,-5.000,-5.000
Thabang Matuludi,Forsvar,Sydafrika,1.990.000,-10.000,-5.000,-5.000
Samukele Kabini,Forsvar,Sydafrika,1.990.000,-10.000,-5.000,-5.000
Olwethu Makhanya,Forsvar,Sydafrika,1.990.000,-10.000,-5.000,-5.000
Nidal Celik,Forsvar,Bosnien-Hercegovina,1.990.000,-10.000,-5.000,-5.000
Khulumani Ndamane,Forsvar,Sydafrika,1.990.000,-10.000,-5.000,-5.000
Hugo Sochurek,Midtbane,Tjekkiet,1.990.000,-10.000,-5.000,-5.000
Eray Cömert,Forsvar,Schweiz,1.990.000,-10.000,-5.000,-5.000
Denis Visinsky,Midtbane,Tjekkiet,1.990.000,-10.000,-5.000,-5.000
David Jurasek,Forsvar,Tjekkiet,1.990.000,-10.000,-5.000,-5.000
David Doudera,Midtbane,Tjekkiet,1.990.000,-10.000,-5.000,-5.000
Bradley Cross,Forsvar,Sydafrika,1.990.000,-10.000,-5.000,-5.000
Stepan Chaloupek,Forsvar,Tjekkiet,1.988.000,-12.000,-5.000,-7.000
Lyle Foster,Angreb,Sydafrika,3.486.000,-14.000,-5.000,-9.000
Tomas Chory,Angreb,Tjekkiet,2.978.000,-22.000,-5.000,-17.000
Nkosinathi Sibisi,Forsvar,Sydafrika,2.458.000,-42.000,-5.000,-37.000
Sphephelo Yaya Sithole,Midtbane,Sydafrika,2.936.000,-64.000,-5.000,-59.000
Themba Zwane,Midtbane,Sydafrika,2.436.000,-64.000,-5.000,-59.000
Thalente Mbatha,Midtbane,Sydafrika,2.985.000,-15.000,-6.000,-9.000
Jovo Lukic,Angreb,Bosnien-Hercegovina,2.130.000,+130.000,-7.000,+137.000
Amir Hadziahmetovic,Midtbane,Bosnien-Hercegovina,1.988.000,-12.000,-7.000,-5.000
Nikola Vasilj,Keeper,Bosnien-Hercegovina,3.011.000,+11.000,-8.000,+19.000
Amar Memic,Midtbane,Bosnien-Hercegovina,3.009.000,+9.000,-13.000,+22.000
Ivan Sunjic,Midtbane,Bosnien-Hercegovina,2.987.000,-13.000,-17.000,+4.000
Ermedin Demirovic,Angreb,Bosnien-Hercegovina,2.987.000,-13.000,-17.000,+4.000
Edin Dzeko,Angreb,Bosnien-Hercegovina,4.474.000,-26.000,-21.000,-5.000
Sead Kolasinac,Forsvar,Bosnien-Hercegovina,2.551.000,+51.000,-23.000,+74.000
Esmir Bajraktarevic,Midtbane,Bosnien-Hercegovina,2.999.000,-1.000,-23.000,+22.000
Ivan Basic,Midtbane,Bosnien-Hercegovina,2.499.000,-1.000,-23.000,+22.000
Nikola Katic,Forsvar,Bosnien-Hercegovina,2.971.000,-29.000,-23.000,-6.000
Kerim Alajbegovic,Midtbane,Bosnien-Hercegovina,3.479.000,-21.000,-25.000,+4.000
Amar Dedic,Forsvar,Bosnien-Hercegovina,2.981.000,-19.000,-33.000,+14.000
Tarik Muharemovic,Forsvar,Bosnien-Hercegovina,2.955.000,-45.000,-59.000,+14.000